time: 1.21875, force: 0, 79.99991448090604, 196.20000000000002, torque: 0, 0, 0
time: 1.22, force: 0, 79.99991448090604, 196.20000000000002, torque: 0, 0, 0
time: 1.23, force: 0, 79.99990286632475, 196.20000000000002, torque: 0, 0, 0
time: 1.234375, force: 0, 79.99991299935694, 196.20000000000002, torque: 0, 0, 0
time: 1.24, force: 0, 79.99991299935694, 196.20000000000002, torque: 0, 0, 0
time: 1.25, force: 0, 79.99993850082454, 196.20000000000002, torque: 0, 0, 0
time: 1.26, force: 0, 79.99997119527258, 196.20000000000002, torque: 0, 0, 0
time: 1.265625, force: 0, 80.00000310540223, 196.20000000000002, torque: 0, 0, 0
time: 1.27, force: 0, 80.00000310540223, 196.20000000000002, torque: 0, 0, 0
time: 1.28, force: 0, 80.000028007424, 196.20000000000002, torque: 0, 0, 0
time: 1.28125, force: 0, 80.00004232469848, 196.20000000000002, torque: 0, 0, 0
time: 1.29, force: 0, 80.00004232469848, 196.20000000000002, torque: 0, 0, 0
time: 1.296875, force: 0, 80.00004531301741, 196.20000000000002, torque: 0, 0, 0
time: 1.3, force: 0, 80.00004531301741, 196.20000000000002, torque: 0, 0, 0
time: 1.31, force: 0, 80.0000386423605, 196.20000000000002, torque: 0, 0, 0
time: 1.3125, force: 0, 80.00002558000219, 196.20000000000002, torque: 0, 0, 0
time: 1.32, force: 0, 80.00002558000219, 196.20000000000002, torque: 0, 0, 0
time: 1.328125, force: 0, 80.000010017228, 196.20000000000002, torque: 0, 0, 0
time: 1.33, force: 0, 80.000010017228, 196.20000000000002, torque: 0, 0, 0
time: 1.34, force: 0, 79.99999556644966, 196.20000000000002, torque: 0, 0, 0
time: 1.34375, force: 0, 79.99998489467508, 196.20000000000002, torque: 0, 0, 0
time: 1.35, force: 0, 79.99998489467508, 196.20000000000002, torque: 0, 0, 0
time: 1.359375, force: 0, 79.99997937941927, 196.20000000000002, torque: 0, 0, 0
time: 1.36, force: 0, 79.99997937941927, 196.20000000000002, torque: 0, 0, 0
time: 1.37, force: 0, 79.99997909140077, 196.20000000000002, torque: 0, 0, 0
time: 1.375, force: 0, 79.99998304186562, 196.20000000000002, torque: 0, 0, 0
time: 1.3800000000000001, force: 0, 79.99998304186562, 196.20000000000002, torque: 0, 0, 0
time: 1.3900000000000001, force: 0, 79.99998959260246, 196.20000000000002, torque: 0, 0, 0
time: 1.390625, force: 0, 79.99999691320525, 196.20000000000002, torque: 0, 0, 0
time: 1.4000000000000001, force: 0, 79.99999691320525, 196.20000000000002, torque: 0, 0, 0
time: 1.40625, force: 0, 80.00000338574154, 196.20000000000002, torque: 0, 0, 0
time: 1.41, force: 0, 80.00000338574154, 196.20000000000002, torque: 0, 0, 0
time: 1.42, force: 0, 80.00000788567618, 196.20000000000002, torque: 0, 0, 0
time: 1.421875, force: 0, 80.00000990812772, 196.20000000000002, torque: 0, 0, 0
time: 1.43, force: 0, 80.00000990812772, 196.20000000000002, torque: 0, 0, 0
time: 1.4375, force: 0, 80.00000954449149, 196.20000000000002, torque: 0, 0, 0
time: 1.44, force: 0, 80.00000954449149, 196.20000000000002, torque: 0, 0, 0
time: 1.45, force: 0, 80.00000734521606, 196.20000000000002, torque: 0, 0, 0
time: 1.453125, force: 0, 80.00000411736607, 196.20000000000002, torque: 0, 0, 0
time: 1.46, force: 0, 80.00000411736607, 196.20000000000002, torque: 0, 0, 0
time: 1.46875, force: 0, 80.000000712241, 196.20000000000002, torque: 0, 0, 0
time: 1.47, force: 0, 80.000000712241, 196.20000000000002, torque: 0, 0, 0
time: 1.48, force: 0, 79.99999784628109, 196.20000000000002, torque: 0, 0, 0
time: 1.484375, force: 0, 79.99999598468932, 196.20000000000002, torque: 0, 0, 0
time: 1.49, force: 0, 79.99999598468932, 196.20000000000002, torque: 0, 0, 0
time: 1.5, force: 0, 79.99999529858037, 196.20000000000002, torque: 0, 0, 0
time: 1.51, force: 0, 79.9999956898585, 196.20000000000002, torque: 0, 0, 0
time: 1.515625, force: 0, 79.99999686470183, 196.20000000000002, torque: 0, 0, 0
time: 1.52, force: 0, 79.99999686470183, 196.20000000000002, torque: 0, 0, 0
time: 1.53, force: 0, 79.99999843131, 196.20000000000002, torque: 0, 0, 0
time: 1.53125, force: 0, 79.99999999803187, 196.20000000000002, torque: 0, 0, 0
time: 1.54, force: 0, 79.99999999803187, 196.20000000000002, torque: 0, 0, 0
time: 1.546875, force: 0, 80.00000125154294, 196.20000000000002, torque: 0, 0, 0
time: 1.55, force: 0, 80.00000125154294, 196.20000000000002, torque: 0, 0, 0
time: 1.56, force: 0, 80.00000200397217, 196.20000000000002, torque: 0, 0, 0
time: 1.5625, force: 0, 80.00000220497938, 196.20000000000002, torque: 0, 0, 0
time: 1.57, force: 0, 80.00000220497938, 196.20000000000002, torque: 0, 0, 0
time: 1.578125, force: 0, 80.00000192486212, 196.20000000000002, torque: 0, 0, 0
time: 1.58, force: 0, 80.00000192486212, 196.20000000000002, torque: 0, 0, 0
time: 1.59, force: 0, 80.00000131595719, 196.20000000000002, torque: 0, 0, 0
time: 1.59375, force: 0, 80.00000056576972, 196.20000000000002, torque: 0, 0, 0
